month,tonnes
1997-01-01,12190272.878
1997-02-01,7845212.443
1997-03-01,13041094.69
1997-04-01,10368844.046
1997-05-01,10515503.37
1997-06-01,13278045.526
1997-07-01,12452278.986
1997-08-01,9810599.506
1997-09-01,10764039.314
1997-10-01,11641658.254
1997-11-01,12006234.77
1997-12-01,10178787.509
1998-01-01,18762916.84
1998-02-01,9436953.785
1998-03-01,14621770.805
1998-04-01,12334714.1
1998-05-01,12031984.773
1998-06-01,13162300.017
1998-07-01,14043908.05
1998-08-01,10618831.303
1998-09-01,11969649.893
1998-10-01,12361137.32
1998-11-01,8049400.189
1998-12-01,12816702.132
1999-01-01,8428617.509
1999-02-01,10764828.108
1999-03-01,10492793.16
1999-04-01,8095614.386
1999-05-01,15610537.3
1999-06-01,11440640.816
1999-07-01,13781394.02
1999-08-01,12263145.219
1999-09-01,12948674.677
1999-10-01,11778377.14
1999-11-01,11382091.992
1999-12-01,12814762.062
2000-01-01,13755974.125
2000-02-01,9738062.434
2000-03-01,14008528.824
2000-04-01,11587363.626
2000-05-01,15614951.206
2000-06-01,13317542.276
2000-07-01,13156508.672
2000-08-01,14569365.304
2000-09-01,12926123.555
2000-10-01,14830481.468
2000-11-01,11857520.107
2000-12-01,11530485.998
2001-01-01,16422155.327
2001-02-01,10154487.387
2001-03-01,14599685.58
2001-04-01,11118108.599
2001-05-01,14317170.779
2001-06-01,11919311.414
2001-07-01,15363976.165
2001-08-01,13089065.497
2001-09-01,11590742.662
2001-10-01,14378905.827
2001-11-01,11774221.862
2001-12-01,11010233.944
2002-01-01,12401093.962
2002-02-01,10774785.141
2002-03-01,12367971.427
2002-04-01,14417822.884
2002-05-01,10517929.013
2002-06-01,3981355.53
2002-07-01,22754489.478
2002-08-01,20146610.381
2002-09-01,18190594.054
2002-10-01,14511446.132
2002-11-01,13714024.277
2002-12-01,12749376.333
2003-01-01,16034142.275
2003-02-01,14533708.012
2003-03-01,14713814.993
2003-04-01,16030445.694
2003-05-01,15793777.123
2003-06-01,12093966.441
2003-07-01,12550164.8
2003-08-01,11277423.428
2003-09-01,18305870.505
2003-10-01,20798586.244
2003-11-01,13544806.035
2003-12-01,9169338.135
2004-01-01,21351993.727
2004-02-01,14418464.527
2004-03-01,21632676.051
2004-04-01,9175340.597
2004-05-01,11966408.28
2004-06-01,16393408.469
2004-07-01,21648891.535
2004-08-01,22481829.256
2004-09-01,18211531.104
2004-10-01,17241884.161
2004-11-01,19290371.612
2004-12-01,17624761.9
2005-01-01,15184509.886
2005-02-01,17560691.672
2005-03-01,17557605.651
2005-04-01,19510789.765
2005-05-01,17078551.013
2005-06-01,18271416.025
2005-07-01,18600783.758
2005-08-01,20603806.861
2005-09-01,18069058.618
2005-10-01,18879562.08
2005-11-01,20763765.22
2005-12-01,22081603.935
2006-01-01,17136921.055
2006-02-01,17415842.842
2006-03-01,23394978.648
2006-04-01,15822450.66
2006-05-01,13117250.978
2006-06-01,20872630.854
2006-07-01,29780925.685
2006-08-01,22280138.559
2006-09-01,20549065.387
2006-10-01,22942420.007
2006-11-01,20898332.317
2006-12-01,18315785.54
2007-01-01,22102204.307
2007-02-01,19134819.769
2007-03-01,21303470.283
2007-04-01,20070776.946
2007-05-01,22499797.667
2007-06-01,18898483.954
2007-07-01,27266930.595
2007-08-01,24992028.138
2007-09-01,22789512.526
2007-10-01,25106766.211
2007-11-01,22341102.397
2007-12-01,22942124.617
2008-01-01,24520920.568
2008-02-01,23155257.304
2008-03-01,14496817.17
2008-04-01,17734886.761
2008-05-01,35113043.186
2008-06-01,25591778.512
2008-07-01,27131551.809
2008-08-01,26304268.183
2008-09-01,29232786.719
2008-10-01,26737568.449
2008-11-01,17914269.559
2008-12-01,13750599.7
2009-01-01,17514932.668
2009-02-01,17479044.439
2009-03-01,22145797.118
2009-04-01,23474179.46
2009-05-01,15332000.414
2009-06-01,21381658.161
2009-07-01,25439411.944
2009-08-01,23297776.406
2009-09-01,28244132.638
2009-10-01,25624799.801
2009-11-01,21831171.984
2009-12-01,24188583.433
2010-01-01,21081548.368
2010-02-01,23422343.523
2010-03-01,27350943.882
2010-04-01,21363232.507
2010-05-01,23436747.168
2010-06-01,24450448.848
2010-07-01,25577795.131
2010-08-01,29786680.568
2010-09-01,27334052.404
2010-10-01,30184836.236
2010-11-01,24719201.999
2010-12-01,31980027.915
2011-01-01,22736266.693
2011-02-01,23278353.768
2011-03-01,24782476.72
2011-04-01,24665073.792
2011-05-01,26430413.803
2011-06-01,25507864.622
2011-07-01,27322038.074
2011-08-01,32478734.577
2011-09-01,30053896.527
2011-10-01,27805487.475
2011-11-01,31759549.801
2011-12-01,34009420.303
2012-01-01,18181040.246
2012-02-01,22650481.33
2012-03-01,27536297.631
2012-04-01,25546141.025
2012-05-01,26802382.322
2012-06-01,25885968.132
2012-07-01,27250841.015
2012-08-01,27532467.314
2012-09-01,27670185.608
2012-10-01,32646692.868
2012-11-01,32569613.125
2012-12-01,32256695.311
2013-01-01,24656284.205
2013-02-01,20673204.541
2013-03-01,22574530.677
2013-04-01,23346973.743
2013-05-01,27174647.684
2013-06-01,26106699.871
2013-07-01,29694849.186
2013-08-01,31162649.801
2013-09-01,29016246.022
2013-10-01,32515221.808
2013-11-01,30909383.794
2013-12-01,31808014.566
2014-01-01,24704675.653
2014-02-01,22628901.361
2014-03-01,24467526.775
2014-04-01,24702320.349
2014-05-01,30685560.299
2014-06-01,29551460.953
2014-07-01,31184621.051
2014-08-01,28261079.808
2014-09-01,33076568.61
2014-10-01,31772928.427
2014-11-01,25955650.37
2014-12-01,37393550.343
2015-01-01,23302216.398
2015-02-01,25259659.341
2015-03-01,30783268.904
2015-04-01,28735340.631
2015-05-01,27690767.526
2015-06-01,32028566.445
